"locality","min_price","max_price","avg_price","population","area_km2","population_density","dist_airport_km","dist_station_km","lat","lon","hospital_5km","clinic_5km","doctors_5km","pharmacy_5km","dentist_5km","school_5km","kindergarten_5km","college_5km","university_5km","bus_station_5km","parking_5km","fuel_5km","restaurant_5km","cafe_5km","bar_5km","bank_5km","atm_5km","hospital_2km","clinic_2km","doctors_2km","pharmacy_2km","dentist_2km","school_2km","kindergarten_2km","college_2km","university_2km","bus_station_2km","parking_2km","fuel_2km","restaurant_2km","cafe_2km","bar_2km","bank_2km","atm_2km","flooded"
"Avadi",4746,6837,5792,235197,55.06,4271,12.06,0.58,13.1194809,80.1026704,12,2,0,7,0,12,0,1,1,1,0,4,2,0,0,4,1,6,0,0,7,0,8,0,0,0,1,0,2,1,0,0,1,0,0
"Ayanambakkam",5865,7919,6892,18921,3.5,5406,7.64,3.08,13.0748878,80.1549921,54,30,6,13,13,13,1,3,1,8,2,21,22,4,1,18,34,2,0,0,0,0,0,0,0,0,1,0,4,1,2,0,4,1,0
"Ayanavaram",7736,10543,9094,76584,4.61,16614,10.7,0.73,13.0946157,80.23541,194,111,15,54,27,26,4,7,0,11,7,38,154,48,6,95,87,40,16,0,1,1,2,0,0,0,1,0,3,13,4,0,1,1,0
"Besant Nagar",14809,19517,17163,35115,2.25,15600,8.13,1.57,12.9996907,80.2682259,70,73,16,37,13,10,3,4,2,4,15,22,122,20,9,46,43,15,25,6,11,5,4,0,0,0,1,1,1,35,7,3,14,9,1
"Chembarambakkam",4791,6783,5787,107769,37.15,2900,9.92,9.02,13.0323819,80.055997,7,1,0,0,0,1,0,3,0,2,0,10,3,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0
"Chengalpattu",4719,6477,5598,39599,28.02,1413,30.6,0.62,12.6840886,79.9836371,19,21,2,0,12,2,0,0,0,0,0,4,0,0,0,2,2,19,20,2,0,12,1,0,0,0,0,0,3,0,0,0,2,2,0
"Chetpet",13274,19726,16500,56171,2.15,26096,9.21,0.19,12.4662407,79.3507344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chitlapakkam",6388,7729,7059,53097,3.33,15942,5.36,0.98,12.9330984,80.1413832,132,125,18,20,50,21,2,10,0,6,3,21,41,2,2,47,58,42,53,9,12,21,6,1,8,0,2,2,6,20,1,2,17,35,0
"Choolaimedu",8600,13083,10842,87460,2.53,34545,7.51,0.84,13.0666287,80.2305198,282,146,26,75,27,51,3,8,0,13,8,64,228,57,13,141,134,49,20,3,5,3,4,0,5,0,0,1,5,24,7,1,22,16,0
"Chromepet",5407,8727,7067,168121,11.69,14380,3.89,0.41,12.9521897,80.1411677,125,127,18,22,45,23,2,9,0,6,3,22,44,11,2,42,64,36,43,10,8,20,6,0,8,0,1,3,5,18,0,2,9,13,0
